Contributor,Commits,Added,Deleted,Repos
valentindavid,64,8651,238,7
arteymix,72,756,238,4
plfiorini,41,432,236,3
dginovker,74,662,235,4
anthr76,10,361,233,1
xjuan,7,78,232,2
ninjawarrior1337,16,378,232,1
kevinlekiller,17,542,231,1
rafatosta,69,287,230,1
ender672,19,433,228,1
stloeffler,15,340,228,1
carrotIndustries,28,523,227,1
nukeop,32,221,227,1
dec05eba,33,323,226,1
fxha,20,422,225,1
janbar,113,222,225,1
phw,23,120,224,3
allisonkarlitskaya,13,455,224,2
lokedhs,51,2790,223,1
Grafcube,9,271,222,1
leftybournes,4,183,222,1
stethewwolf,19,186,220,1
BeagleJoe,10,228,219,1
maoschanz,55,272,218,2
santiagocezar,23,316,218,1
virxkane,10,293,218,1
Vanadiae,25,276,218,1
ShobuPrime,20,871,217,1
elboulangero,49,354,217,1
ndarilek,16,392,217,3
dtchanpura,13,211,216,1
TLCFEM,26,328,216,1
acperkins,12,328,215,1
ryonakano,29,459,214,5
MehdiChinoune,24,472,214,1
neovali,20,327,214,2
Matoking,36,1055,213,1
dimkard,24,751,213,2
ingemarberg,38,969,212,2
ahayzen,25,330,211,7
Wakeful-Cloud,8,446,211,1
rexcze,105,210,210,105
ghazyami,38,723,210,3
axtloss,82,609,210,2
COM8,28,451,207,1
tpikonen,12,269,206,2
Sturmflut,3,82,204,1
WhyNotHugo,22,340,203,3
michaelkuhn,15,348,201,1
hermitdemschoenenleben,17,654,201,1
sudden6,6,298,201,1
mbunkus,76,235,200,1
johnfactotum,39,217,199,2
turtlegarden,59,236,197,1
carterbox,15,328,196,1
shinyquagsire23,71,252,196,1
hpoul,18,263,195,1
LyesSaadi,10,543,194,1
ferraridamiano,18,246,194,1
mbonani,17,211,194,1
cat-master21,17,313,193,1
Dummerle,22,497,193,1
tigercoding56,45,289,193,1
boyan01,25,290,193,1
Heliozoa,24,191,190,1
cazfi,3,220,190,1
paulwedeck,9,372,189,1
matze,39,890,189,2
mijorus,97,507,188,3
alexwarddev1230,22,349,188,1
SoongNoonien,34,245,187,1
csett86,32,303,186,2
BrainBlasted,28,399,185,10
CleoMenezesJr,27,401,185,3
phako,44,456,185,1
xplshn,29,325,184,1
o-kotb,8,397,184,1
doraskayo,17,36,183,5
ysiraichi,1,190,183,1
marhkb,20,266,182,1
yucefsourani,23,194,182,1
vrutkovs,6,388,181,5
flozz,16,549,180,2
xverizex,32,221,179,1
jonri,8,270,179,1
Faster3ck,9,445,177,1
peterNordin,28,551,175,1
jkotra,73,605,175,2
dynobo,29,944,174,1
kate-shine,20,384,174,2
jakobjakobson13,20,111,174,4
sebasgo,9,220,174,1
hhyyrylainen,26,1743,173,1
SegHaxx,10,218,173,1
kukabu,5,47,172,3
kiwixbot,41,317,172,1
overflw,23,240,172,1
neatdecisions,21,345,171,1
TheComputerGuy96,18,167,170,2
jonathanballs,8,402,170,1
akurtakov,43,156,169,5
mlundblad,8,96,169,1
Lonsfor,54,644,167,7
skyjake,79,260,166,2
goncalossilva,4,143,166,2
dqpb,2,332,165,1
12people,13,327,164,4
mandruis7,5,7397,163,1
hnm-duncan,10,467,163,1
zelikos,5,1543,162,1
cheywood,16,336,162,1
esodan,15,214,161,1
d3cod3,32,210,161,1
romandemidov,24,176,161,1
bvschaik,9,28,160,1
MaFeLP,9,243,158,1
muriloventuroso,64,520,158,3
martinrotter,31,193,158,1
n-ham,89,217,156,1
cspiegel,8,883,156,1
babluboy,21,296,155,1
fishxz,29,313,155,1
SemaiCZE,29,496,155,1
Ad5001,38,818,154,1
jreleaserbot,2,446,154,1
Dragicafit,8,153,153,1
heroesiiifan,14,392,152,1
agateau,15,215,151,2
dgud,7,330,151,1
expatjedi,21,475,148,3
vkrause,3,59,148,1
nintyfan,20,180,148,1
GeckoEidechse,15,342,147,2
BeatLink,49,185,147,3
idunno101,30,569,147,3
mki1967,32,263,147,1
imikado,23,179,147,1
ice0,7,192,147,1
tothxa,3,131,147,1
Bluefissure,12,1740,146,1
saytamkenorh,10,308,146,1
marcoscarpetta,28,178,144,1
cor3ntin,18,302,144,1
JuhoBasemark,6,636,143,1
evfool,25,95,142,4
kohend,15,488,142,1
chenzhiwei,19,268,141,2
JMoerman,17,65,141,1
SiongSng,27,253,141,1
MartijnBraam,6,252,141,1
coolavery,28,8551,141,1
alekseygrachev,6,281,140,1
ebassi,31,284,138,3
pio2398,32,269,138,2
Rosalie241,34,266,137,1
debfx,12,46,137,4
mpobaschnig,17,295,137,1
elescoute,64,223,137,2
mgautierfr,3,225,136,1
ranomier,8,213,134,1
trigg,31,475,134,1
sumwale,1,134,134,1
Syping,19,158,133,1
lnjX,19,56,133,1
kurobeats,16,251,133,1
langurmonkey,30,161,132,1
WerWolv,19,72,132,1
waybackarchiver,25,289,132,1
muayyad-alsadi,15,35,131,1
fgaz,6,212,130,1
samy-k97,8,107,130,3
lovetox,11,176,130,1
