Contributor,Commits,Added,Deleted,Repos
bertogg,27,1227,718,1
LyzardKing,27,284,124,2
Ferenc-,26,627,481,8
alexhuntley,26,218,77,1
hhyyrylainen,26,1743,173,1
otuva,26,899,447,3
CodeDoctorDE,26,439,389,1
eighthave,26,958,322,2
TLCFEM,26,328,216,1
otsaloma,26,241,112,2
caspermeijn,25,148,117,2
abique,25,801,916,1
ahayzen,25,330,211,7
mdh34,25,388,308,2
RogerCrocker,25,142,83,1
yajo,25,908,87,5
mikelolasagasti,25,1324,1094,2
vega-d,25,249,67,2
gerstrong,25,112,43,1
boyan01,25,290,193,1
waybackarchiver,25,289,132,1
Vanadiae,25,276,218,1
evfool,25,95,142,4
Amit0617,25,304,123,2
jcupitt,25,18413,17497,1
MrTarantoga,25,112,57,1
0pendev,25,211,122,1
takluyver,24,368,77,5
klausenbusk,24,294,56,2
MehdiChinoune,24,472,214,1
BurnerWah,24,57,9,12
micahflee,24,1343,1434,2
blt-r,24,4312,477,3
vixalien,24,4059,2743,1
Heliozoa,24,191,190,1
deepbluev7,24,426,547,1
redsky17,24,690,302,1
Jacalz,24,117,56,1
tallero,24,621,326,1
SeeLook,24,266,121,2
XRenSiu,24,224,70,1
me00001,24,3461,1247,4
dimkard,24,751,213,2
eyecreate,24,38,298,2
romandemidov,24,176,161,1
eneshecan,23,491,336,1
yucefsourani,23,194,182,1
zadam,23,28023,5953,1
phw,23,120,224,3
loganmc10,23,327,61,3
CapitaineJSparrow,23,241,110,1
Scrumplex,23,696,492,3
santiagocezar,23,316,218,1
benoitf,23,16782,4197,1
imikado,23,179,147,1
diemmarkus,23,852,706,1
jonata,23,1051,527,1
overflw,23,240,172,1
manfred-kaiser,22,781,546,1
sgehrman,22,232,58,1
ironsmile,22,9511,8164,1
Limero,22,259,42,1
WhyNotHugo,22,340,203,3
maltejur,22,67,35,1
LukeBriggsDev,22,636,388,1
Tykky,22,159,112,1
BharatKalluri,22,163,65,2
ximion,22,1130,318,4
Dummerle,22,497,193,1
tralph3,22,525,426,1
AxelTerizaki,22,7009,35,1
BeardOverflow,22,4138,1946,1
alexwarddev1230,22,349,188,1
zebra-lucky,22,3162,1280,2
whot,22,286,122,2
gpoo,22,143,468,1
olof-nord,22,65047,48218,1
Rechi,22,670,451,1
hongquan,22,693,297,1
mbooth101,21,3687,3411,4
Yxogenium,21,226,28,1
