Contributor,Commits,Added,Deleted,Repos
eladyn,1,11,0,1
scde,1,1,0,1
n-ham,89,217,156,1
G10h4ck,2,155,19,1
fbugno,6,38,22,1
MatthieuBarthel,5,87,55,1
dsommers,1,3,3,1
sergeyklay,2,3,3,1
mo8it,1,1,1,1
ljrk0,68,116434,70791,1
beatjaeckle,15,141,97,1
Prototik,23,307,82,1
Jikstra,1,22335,7460,1
hoxia,1,1,0,1
Simon-Laux,67,173749,166516,1
alpabrz,1,7,2,1
alariej,70,685,511,1
iweiss,1,5,4,1
geekgonecrazy,7,18,14,1
TimmiORG,9,35,28,1
MaeIsBad,1,1,1,1
KevlarKanou,9,130,8,1
GZYangKui,13,122,60,1
aonyxbot,6,593,276,1
Bluefissure,16,1781,208,1
fcastilloec,31,378,330,1
Kiwijane3,2,1,2,1
NoraCodes,6,56,14,1
Adamcake,59,1129,1692,1
alejandro11k,1,3,2,1
konradmb,3,34,25,1
Nonononoki,8,6638,15,1
jandryuk,1,4,4,1
jimmyjones2,2,164,47,1
hubick,3,5,4,1
amz-x,2,28,10,1
Inglebard,2,5,6,1
arviceblot,12,10841,1966,1
RyanTheAllmighty,1,2,0,1
KevinAtSesam,1,6,5,1
peteruithoven,1,1,0,1
TobiGr,3,12,9,1
JuhoBasemark,6,636,143,1
thorhop,4,6,6,1
Maks1mS,1,1,0,1
mstroecker,1,1,1,1
phloose,2,6,6,1
takuvata,1,3,3,1
KAMiKAZOW,1,8,0,1
abique,29,912,1027,1
bitwig-buildbot,40,123,94,1
jhasse,2,71,0,1
johan-bjareholt,17,77,45,1
saturneric,10,181,144,1
dimitris-norce,1,2,7,1
midwan,20,237,129,1
grubles,19,353,264,1
NikolozMiruashvili,1,4,4,1
CryptGoat,1,4,4,1
real-yfprojects,7,373,398,1
samuel-w,7,12,49,1
jarek-foksa,100,17762,14390,1
StellarOrbit,1,4,3,1
cthu1hoo,1,23,0,1
LucasWagler,1,3,2,1
admiralakber,1,1,0,1
exil0867,1,6,3,1
oajara,1,0,11,1
brave-builds,1,5,4,1
